# ----------------------------------------,,,,,,,
# All Web Site Data,,,,,,,
# Pages,,,,,,,
# 20160401-20160430,,,,,,,
# ----------------------------------------,,,,,,,
,,,,,,,
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/climate/,"10,361","8,009",0:00:39,"3,083",53.82%,25.92%,$0.00
,"10,361","8,009",0:00:39,"3,083",53.82%,25.92%,$0.00
,,,,,,,
Day Index,Pageviews,,,,,,
4/1/16,254,,,,,,
4/2/16,153,,,,,,
4/3/16,234,,,,,,
4/4/16,405,,,,,,
4/5/16,461,,,,,,
4/6/16,406,,,,,,
4/7/16,416,,,,,,
4/8/16,275,,,,,,
4/9/16,205,,,,,,
4/10/16,280,,,,,,
4/11/16,458,,,,,,
4/12/16,436,,,,,,
4/13/16,383,,,,,,
4/14/16,453,,,,,,
4/15/16,257,,,,,,
4/16/16,198,,,,,,
4/17/16,251,,,,,,
4/18/16,413,,,,,,
4/19/16,423,,,,,,
4/20/16,515,,,,,,
4/21/16,426,,,,,,
4/22/16,425,,,,,,
4/23/16,264,,,,,,
4/24/16,256,,,,,,
4/25/16,415,,,,,,
4/26/16,458,,,,,,
4/27/16,381,,,,,,
4/28/16,365,,,,,,
4/29/16,305,,,,,,
4/30/16,190,,,,,,
,"10,361",,,,,,
