# ----------------------------------------,,,,,,,
# All Web Site Data,,,,,,,
# Pages,,,,,,,
# 20180701-20180731,,,,,,,
# ----------------------------------------,,,,,,,
,,,,,,,
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/climate/,"6,402","5,099",0:00:39,"1,381",58.89%,24.70%,$0.00
,"6,402","5,099",0:00:39,"1,381",58.89%,24.70%,$0.00
,,,,,,,
Day Index,Pageviews,,,,,,
7/1/18,150,,,,,,
7/2/18,222,,,,,,
7/3/18,182,,,,,,
7/4/18,148,,,,,,
7/5/18,211,,,,,,
7/6/18,159,,,,,,
7/7/18,128,,,,,,
7/8/18,157,,,,,,
7/9/18,264,,,,,,
7/10/18,246,,,,,,
7/11/18,220,,,,,,
7/12/18,200,,,,,,
7/13/18,198,,,,,,
7/14/18,145,,,,,,
7/15/18,143,,,,,,
7/16/18,233,,,,,,
7/17/18,295,,,,,,
7/18/18,267,,,,,,
7/19/18,266,,,,,,
7/20/18,177,,,,,,
7/21/18,151,,,,,,
7/22/18,176,,,,,,
7/23/18,260,,,,,,
7/24/18,256,,,,,,
7/25/18,247,,,,,,
7/26/18,287,,,,,,
7/27/18,221,,,,,,
7/28/18,148,,,,,,
7/29/18,137,,,,,,
7/30/18,256,,,,,,
7/31/18,252,,,,,,
,"6,402",,,,,,
